index,brand,model,Specification,Device,price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty
675,hp,HP 14-em0025AU,AMD Ryzen  3 7320U/ 8GB/ 512GB SSD/ Win11 Home,Laptop,38990,57,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,14,1920,1080,windows,1
676,hp,HP 14-em0027AU,AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,50990,60,amd,ryzen 5,4,8,16,SSD,512,No secondary storage,0,amd,integrated,FALSE,14,1920,1080,windows,1
677,asus,Asus Vivobook 15 X1502ZA-EJ523WS,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11,Laptop,55990,60,intel,core i5,12,16,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
678,dell,Dell Vostro 15 3510,11th Gen Core i3/ 8GB/ 1TB 256GB SSD/ Win11 Home,Laptop,39290,60,intel,core i3,2,4,8,HDD,1024,SSD,256,intel,integrated,FALSE,15.6,1920,1080,windows,No information
679,hp,HP Pavilion Plus 14-eh1047TU,13th Gen Core i7/ 16GB/ 512GB SSD/ Win 11,Laptop,107763,71,intel,core i7,14,20,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,2880,1800,windows,1
680,dell,Dell Inspiron 7430 2 in 1,13th Gen Core i3/ 8GB/ 1TB SSD/ Win11,Laptop,59990,56,intel,core i3,6,8,8,SSD,1024,No secondary storage,0,intel,integrated,TRUE,14,1920,1200,windows,1
681,lenovo,Lenovo IdeaPad Gaming 3 82K2025LIN,AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,72990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
682,lenovo,Lenovo ThinkPad E14 21JRS00U00,AMD Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,56700,64,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,FALSE,14,1920,1080,windows,1
683,lenovo,Lenovo Thinkpad E15 21E6S05B00,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home,Laptop,65990,67,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
684,lenovo,Lenovo Thinkbook 15 21DJ00EXIH,12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home,Laptop,53990,66,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
685,hp,HP Pavilion Plus 14-eh1022TU,13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11,Laptop,78019,69,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,2240,1400,windows,1
686,acer,Acer Aspire Lite AL15-51 UN.431SI.252,11th Gen Core i3/ 8GB/ 512GB SSD/ Win11,Laptop,30790,59,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,15.6,1920,1080,windows,1
687,lenovo,Lenovo IdeaPad Gaming 3 15ACH6 82K2025JIN,AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph,Gaming Laptop,57390,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,FALSE,15.6,1920,1080,windows,1
688,hp,HP Zbook Power G4-A 2023 ZHAN 99,AMD Ryzen 5 6600H/ 16GB/ 1TB 512GB SSD/ Win11/ 4GB Graph,Laptop,115706,71,amd,ryzen 5,6,12,16,HDD,1024,SSD,512,nvidia,dedicated,FALSE,15.6,1920,1080,windows,No information
689,dell,Dell Inspiron 3535,AMD Ryzen R5-7520U/ 8GB/ 512GB SSD/ Win11,Laptop,41808,53,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,15.6,1920,1080,windows,1
690,hp,HP Envy 15-fe0030TU,13th Gen Core i7/ 16GB/ 512GB SSD/ Win11,Laptop,109990,69,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,TRUE,15.6,1920,1080,windows,1
691,hp,HP 14-hr0001AU,AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home,Laptop,44990,58,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,FALSE,14,1920,1080,windows,1
692,hp,HP 14-gr0000TU,13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home,Laptop,47990,53,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,FALSE,14,1920,1080,windows,1
693,hp,HP 14-hr0000AU,AMD Ryzen 5 7520U/ 16GB/ 512GB SSD/ Win11 Home,Laptop,52990,60,amd,ryzen 5,4,8,16,SSD,512,No secondary storage,0,amd,integrated,FALSE,14,1920,1080,windows,1
